id,stim_type,factual_truth,resp,correct,rt,rt_question,rt_total,condition
1,0,1,0,0,2.23038099997211,1.83640669996385,4.06678769993596,1
1,0,1,0,0,1.23511799995322,1.38328349997755,2.61840149993077,1
1,0,1,1,1,2.07103800005279,1.31749129993841,3.3885292999912,1
1,1,1,0,0,1.13266479992308,1.52369529998396,2.65636009990704,2
1,1,0,1,0,0.911049999995157,1.21955070004333,2.130600700038487,4
1,1,1,1,1,1.51613250002265,1.32809020008426,2.84422270010691,2
1,1,1,1,1,1.27524869993795,1.37642670003697,2.65167539997492,2
1,1,0,0,1,1.69896619999781,1.59158350003418,3.29054970003199,4
1,0,0,1,0,1.66077990003396,1.02312080003321,2.68390070006717,3
1,1,0,0,1,1.03138639999088,1.21377419994678,2.24516059993766,4
1,0,0,0,1,0.962032399955206,1.68871609994676,2.650748499901966,3
1,0,0,1,0,1.16685709997546,1.63730509998277,2.8041621999582302,3
1,0,1,1,1,1.33584039995912,1.33851130004041,2.67435169999953,1
1,0,1,1,1,1.1863422000315,1.81350869999733,2.99985090002883,1
1,1,0,1,0,1.4555044999579,1.79762589989696,3.25313039985486,4
1,1,0,0,1,1.46813589998055,1.0090386000229,2.47717450000345,4
1,0,1,0,0,1.48470859997906,1.87680920003913,3.36151780001819,1
1,1,1,1,1,1.27778000000399,1.94797679991461,3.2257567999186003,2
1,1,0,1,0,0.827508499962278,2.34264769998845,3.170156199950728,4
1,1,1,0,0,1.29022960003931,1.11939849995542,2.4096280999947304,2
1,1,0,0,1,1.97347339999396,1.13490370009094,3.1083771000849003,4
1,1,1,1,1,1.35625279997475,1.02351760002784,2.37977040000259,2
1,0,0,0,1,1.24644290003926,2.10878529993352,3.35522819997278,3
1,1,1,1,1,0.967282500001602,1.20678190002218,2.174064400023782,2
1,1,0,1,0,1.12182340002619,2.87627969996538,3.99810309999157,4
1,1,1,0,0,1.18331390002277,1.12294559995644,2.30625949997921,2
1,0,0,1,0,0.979316900018603,1.24408780003432,2.223404700052923,3
1,0,0,0,1,0.954740699962713,1.45162770000752,2.406368399970233,3
1,1,1,1,1,1.32744419993833,1.05997740000021,2.38742159993854,2
1,0,1,0,0,0.909678699914366,1.06678220001049,1.976460899924856,1
1,1,1,0,0,1.15655349998269,1.84286839992274,2.99942189990543,2
1,0,1,1,1,0.862645599991083,1.37913699995261,2.241782599943693,1
1,1,0,0,1,1.19699259998742,1.37079389998689,2.56778649997431,4
1,1,1,1,1,1.20442560000811,1.74550179997459,2.9499273999827,2
1,0,0,1,0,1.21224219992291,1.87774360005278,3.08998579997569,3
1,0,0,1,0,1.94998669996858,1.04656930000056,2.9965559999691402,3
1,0,1,0,0,1.17564050003421,2.90790270001162,4.08354320004583,1
1,1,0,0,1,1.26206540002022,2.06626740004867,3.32833280006889,4
1,0,1,1,1,2.02454859996215,1.43692920007743,3.46147780003958,1
1,1,0,0,1,1.023491299944,1.22099220007658,2.2444835000205803,4
1,1,0,1,0,1.01105089997873,1.35545099992305,2.36650189990178,4
1,0,0,1,0,2.307892599958,1.19639850000385,3.5042910999618497,3
1,1,0,0,1,1.01241820002906,1.4191073999973,2.43152560002636,4
1,0,1,0,0,2.1357356000226,1.69293140002992,3.82866700005252,1
1,0,1,0,0,1.54023990000132,1.61876810004469,3.1590080000460103,1
1,0,1,1,1,1.09790880000219,2.16812709998339,3.26603589998558,1
2,1,1,0,0,3.02163480001036,3.74669589998666,6.76833069999702,2
2,1,1,1,1,3.72572270000819,2.01843719999306,5.74415990000125,2
2,0,0,0,1,4.2120133000426,2.09190989995841,6.303923200001011,3
2,0,1,1,1,3.15936749998946,3.22068320005201,6.38005070004147,1
2,1,0,0,1,5.02405100001488,2.26358050003182,7.2876315000467,4
2,0,1,0,0,1.37692840001546,2.35382009996101,3.73074849997647,1
2,1,0,0,1,3.5605298000155,1.44397320004646,5.00450300006196,4
2,0,1,0,0,2.23004739999305,2.26053450000472,4.49058189999777,1
2,0,0,1,0,2.73743039998226,2.54163959994912,5.27906999993138,3
2,0,0,0,1,1.35358740005177,2.95875690004323,4.312344300095,3
2,0,1,1,1,1.35668550000992,2.10046119999606,3.45714670000598,1
2,1,0,0,1,3.39134270010982,3.06753580004442,6.45887850015424,4
2,0,0,0,1,1.86899630003609,2.21067479997873,4.07967110001482,3
2,0,0,1,0,2.96825809997972,1.90245160006452,4.87070970004424,3
2,1,0,1,0,1.9005318999989,2.63389810000081,4.53442999999971,4
2,0,1,0,0,2.85598220000975,1.7973291000817,4.65331130009145,1
2,0,0,0,1,2.73004799999762,1.92480769997928,4.6548556999769,3
2,0,1,1,1,1.63307260000147,3.15828970004804,4.79136230004951,1
