model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
RDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1:u_2$ | $c_{1}$,1.5324780658836383,-51.93370165745868,-13.853410354740905
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,2.400002478287181,25.23364485981341,-4.303714102652318
RDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1:u_2$ | $c_{1}$,-5.389135498994106,-33.45836459114784,-1.0410143268424101
CDM,intercept_only,BayesGPT_Family,$v$,3.348991684648512,28.440366972476685,-0.22951533917508823
CDM,intercept_only,BayesGPT_Family,$v_\theta$,0.7866754229763823,16.6666666666669,-0.24053706614197518
CDM,intercept_only,BayesGPT_Family,$a$,1.551457515694816,-4.827586206896329,-0.03538426725959421
CDM,intercept_only,BayesGPT_Family,$\tau$,2.767911928575189,-26.66666666666624,-0.1315648392062938
CDM,intercept_only,BayesGPT_Family,$s_v$,0.808763053486869,7.407407407407672,-15.118026128896355
CDM,intercept_only,BayesGPT_Family,$s_\tau$,-0.07018700773779739,-17.34104046242765,0.1837248126548617
CDM,intercept_only,BayesGPT_ModelClass,$v$,9.103285618500129,75.71428571428572,-0.8953954863646989
CDM,intercept_only,BayesGPT_ModelClass,$v_\theta$,8.71505344228595,131.7460317460322,-3.3434007184829606
CDM,intercept_only,BayesGPT_ModelClass,$a$,10.387028949939216,76.08695652173857,-0.5815482838671713
CDM,intercept_only,BayesGPT_ModelClass,$\tau$,5.713090073544085,158.4415584415581,-0.6887175976443609
CDM,intercept_only,BayesGPT_ModelClass,$s_v$,-0.24176749773344233,81.89655172413816,-44.61898166007333
CDM,intercept_only,BayesGPT_ModelClass,$s_\tau$,3.5182681334461186,49.65034965034972,-7.111502938340775
CDM,fixed,BayesGPT_Family,$v$,-0.7525449016102553,-19.10112359550592,-0.08468844735585368
CDM,fixed,BayesGPT_Family,$v_\theta$,-4.805570244492484,-1.030927835051379,-0.3057197905605785
CDM,fixed,BayesGPT_Family,$a$,-1.43459037108591,13.559322033898312,-0.05146500579513975
CDM,fixed,BayesGPT_Family,$\tau$,1.1002492345592614,-15.121951219512376,-0.06735820506442539
CDM,fixed,BayesGPT_ModelClass,$v$,10.178420056739576,675.0000000000018,-1.0135726899310658
CDM,fixed,BayesGPT_ModelClass,$v_\theta$,7.390577335719755,260.4166666666666,-3.053451941506681
CDM,fixed,BayesGPT_ModelClass,$a$,20.222330704784746,-23.383084577114502,-0.7590312158022937
CDM,fixed,BayesGPT_ModelClass,$\tau$,10.658871609056003,10.344827586207016,-1.369410005053266
CDM,regressed,BayesGPT_Family,$v$,7.7180741320938475,81.94444444444412,-0.7809746655162861
CDM,regressed,BayesGPT_Family,$v_\theta$,3.022931146956739,8.5836909871244,-0.37035927515818967
CDM,regressed,BayesGPT_Family,$a$,20.263375868488584,23.4374999999992,-0.5468814631746937
CDM,regressed,BayesGPT_Family,$\tau$,19.937308407305817,-48.790322580645054,-0.5812700386175472
CDM,regressed,BayesGPT_Family,$s_v$,4.125874628488254,27.567567567567252,-17.15556151828757
CDM,regressed,BayesGPT_Family,$s_\tau$,28.29236302377297,79.8816568047342,-2.5807818381578924
CDM,regressed,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,11.2593080363154,155.9808612440189,-1.5158594134589394
CDM,regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,38.84489704981939,6.5502183406112975,-0.07139625628257591
CDM,regressed,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,14.944349348900493,-52.46913580246921,-1.382350295904155
CDM,regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,50.22296903157209,190.5555555555554,-0.19218876129789583
CDM,regressed,BayesGPT_ModelClass,$v$,7.581783685779965,-44.27480916030537,-2.1112888779821617
CDM,regressed,BayesGPT_ModelClass,$v_\theta$,11.998414332002715,-16.60079051383406,-2.4360418198043767
CDM,regressed,BayesGPT_ModelClass,$a$,8.604024152401559,-31.645569620253102,-0.77577127591257
CDM,regressed,BayesGPT_ModelClass,$\tau$,5.508657633076794,207.0866141732278,-0.2038401254296914
CDM,regressed,BayesGPT_ModelClass,$s_v$,0.7318216109379487,7.62711864406788,-5.355152305127489
CDM,regressed,BayesGPT_ModelClass,$s_\tau$,-0.12888510966921568,-60.855263157894754,-1.1132501710790164
CDM,regressed,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,5.468886905527849,-75.14018691588782,-1.9304824919333459
