model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
RDM,intercept_only,BayesGPT_Family,$\tau$,2.3517000248644893,36.91275167785264,-0.039549537539424744
RDM,intercept_only,BayesGPT_Family,$s_v$,-1.51148113522682,11.985018726591559,23.66440673816104
RDM,intercept_only,BayesGPT_Family,$s_\tau$,0.8964515037869935,21.42857142857147,3.3374810511398176
RDM,intercept_only,BayesGPT_ModelClass,$v$,3.4346671897525884,235.08771929824536,-9.257748948120005
RDM,intercept_only,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,7.965657662116576,194.5054945054946,-6.272346281177398
RDM,intercept_only,BayesGPT_ModelClass,$a$,3.694169860313058,-31.901840490797625,-4.327550856402383
RDM,intercept_only,BayesGPT_ModelClass,$\tau$,9.685000740521364,-46.07843137254909,-0.3010812149615551
RDM,intercept_only,BayesGPT_ModelClass,$s_v$,3.4415996504958297,26.086956521739335,-68.43578252645021
RDM,intercept_only,BayesGPT_ModelClass,$s_\tau$,3.7066555583170344,78.6764705882353,-6.270739158633204
RDM,fixed,BayesGPT_Family,$v$,-0.30607391701943937,-3.3333333333331603,-1.233346913570206
RDM,fixed,BayesGPT_Family,$v_{\mathrm{diff}}$,0.552680519513135,14.788732394366585,-0.4948116267192675
RDM,fixed,BayesGPT_Family,$a$,1.7292553398465842,-69.81566820276507,0.182521057046054
RDM,fixed,BayesGPT_Family,$\tau$,-2.826302696863811,-18.98016997167138,0.30436437089644347
RDM,fixed,BayesGPT_ModelClass,$v$,8.472957493092014,56.65024630541859,-11.099609811417997
RDM,fixed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,8.524714191362447,-15.95092024539905,-7.139872763082277
RDM,fixed,BayesGPT_ModelClass,$a$,11.534057458023717,94.65648854961857,-3.9724075369204357
RDM,fixed,BayesGPT_ModelClass,$\tau$,10.382917691437452,19.2307692307691,-0.9676610109896943
RDM,regressed,BayesGPT_Family,$v$,-16.61752101675745,-85.86744639376222,-4.970311919596541
RDM,regressed,BayesGPT_Family,$v_{\mathrm{diff}}$,2.450821471437615,37.543859649122936,-0.8739698436414727
RDM,regressed,BayesGPT_Family,$a$,-32.99154203931386,-92.76094276094277,-1.8426125151574044
RDM,regressed,BayesGPT_Family,$\tau$,-62.00623958091172,-94.88440727988198,-0.048009265475835394
RDM,regressed,BayesGPT_Family,$s_v$,1.2813882547659052,2.0202020202024844,-25.56061654760626
RDM,regressed,BayesGPT_Family,$s_\tau$,-13.255749436829115,-87.51200768491844,-2.531459862546117
RDM,regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,-5.769347056890939,-72.47579529737204,-0.5945112007587384
RDM,regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,-9.971365397988452,-85.76233183856509,-0.1297628095809576
RDM,regressed,BayesGPT_Family,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,2.5746435956662834,-58.31903945111496,-1.1485770176268446
RDM,regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,-8.101503338025173,-78.89830508474579,-0.13713189347634727
RDM,regressed,BayesGPT_ModelClass,$v$,8.030880634559827,136.55172413793156,-6.888470104887918
