model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
RDM,intercept_only,BayesGPT_Family,$\tau$,3.4155151130597843,46.308724832214594,0.03786659777528316
RDM,intercept_only,BayesGPT_Family,$s_v$,-0.6961966578562581,23.22097378277153,15.39539524786364
RDM,intercept_only,BayesGPT_Family,$s_\tau$,0.47971427439253395,-4.464285714285698,2.8602925417799034
RDM,intercept_only,BayesGPT_ModelClass,$v$,4.036167361960096,223.07692307692426,-9.93628728255944
RDM,intercept_only,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,9.519013025699307,176.14213197969576,-6.451208076459201
RDM,intercept_only,BayesGPT_ModelClass,$a$,3.8850440779468878,-60.60606060606079,-3.1810209827327003
RDM,intercept_only,BayesGPT_ModelClass,$\tau$,8.066921439549494,-24.311926605504613,-0.505356239122686
RDM,intercept_only,BayesGPT_ModelClass,$s_v$,2.286932523957318,7.902735562309911,-61.590148134275566
RDM,intercept_only,BayesGPT_ModelClass,$s_\tau$,4.860110200994652,175.7009345794402,-6.433752186003319
RDM,fixed,BayesGPT_Family,$v$,0.24330430472618977,6.666666666666698,-1.8211937156515097
RDM,fixed,BayesGPT_Family,$v_{\mathrm{diff}}$,0.7538608588485547,16.90140845070481,-0.23928709861217917
RDM,fixed,BayesGPT_Family,$a$,1.661668697640479,-49.07834101382494,-0.043150533858952775
RDM,fixed,BayesGPT_Family,$\tau$,-2.2394345049781235,-20.96317280453268,0.23619408158806163
RDM,fixed,BayesGPT_ModelClass,$v$,6.60248398465033,44.1964285714283,-10.907586409043889
RDM,fixed,BayesGPT_ModelClass,$v_{\mathrm{diff}}$,7.2744605018310375,12.650602409638362,-6.866118679223521
RDM,fixed,BayesGPT_ModelClass,$a$,11.011516544957878,21.266968325791936,-3.7564187715943778
RDM,fixed,BayesGPT_ModelClass,$\tau$,9.434020710926426,27.24014336917567,-0.9822669613051627
RDM,regressed,BayesGPT_Family,$v$,-30.881282165958456,-92.02261306532667,-4.607503397791301
RDM,regressed,BayesGPT_Family,$v_{\mathrm{diff}}$,-2.7031438797213903,8.152173913043843,-0.5375119478858471
RDM,regressed,BayesGPT_Family,$a$,-43.90362851865681,-94.94736842105263,-0.9820769928451039
RDM,regressed,BayesGPT_Family,$\tau$,-71.90334957746772,-94.69439728353142,0.25651955207655047
RDM,regressed,BayesGPT_Family,$s_v$,-2.1913076011225794,-58.52713178294573,-13.468030626169215
RDM,regressed,BayesGPT_Family,$s_\tau$,-32.19812174595153,-92.41652518392762,-4.661115919322712
