id,rt,color,word,resp,session,congruent
5,0.869,0,1,0,0,0
5,0.6,2,2,2,0,1
5,0.643,1,1,1,0,1
5,0.781,1,0,1,0,0
5,0.647,0,1,0,0,0
5,0.435,0,0,0,0,1
5,0.59,2,0,0,0,0
5,0.609,0,0,0,0,1
5,1.068,1,2,1,0,0
5,0.75,0,0,0,0,1
5,0.745,1,1,1,0,1
5,0.747,0,0,0,0,1
5,1.079,2,1,2,0,0
5,0.865,1,1,1,0,1
6,0.755,1,2,1,0,0
6,0.685,0,0,0,0,1
6,0.774,1,0,1,0,0
6,0.43,2,2,2,0,1
6,0.429,1,1,2,0,1
6,0.546,1,1,1,0,1
6,0.568,2,2,2,0,1
6,0.633,1,1,1,0,1
6,0.659,1,1,1,0,1
6,0.411,0,0,0,0,1
6,0.655,2,1,2,0,0
6,0.688,2,0,2,0,0
6,0.931,1,2,1,0,0
6,0.683,2,1,2,0,0
6,0.676,2,1,2,0,0
6,0.886,2,0,2,0,0
6,0.886,1,1,1,0,1
6,1.043,1,2,1,0,0
6,0.668,2,1,2,0,0
6,0.774,1,1,1,0,1
6,0.456,0,0,0,0,1
6,0.811,0,1,0,0,0
6,0.578,0,0,0,0,1
6,1.035,1,0,1,0,0
6,0.747,2,1,2,0,0
6,0.718,2,0,2,0,0
6,0.665,2,2,2,0,1
6,0.534,0,0,0,0,1
6,0.503,2,2,2,0,1
6,0.766,1,1,1,0,1
6,0.669,1,2,1,0,0
6,0.851,1,0,1,0,0
6,1.201,2,2,2,0,1
6,0.614,0,1,0,0,0
6,0.591,2,1,2,0,0
6,0.751,0,0,0,0,1
6,0.511,0,0,0,0,1
6,0.505,0,0,0,0,1
6,0.438,0,0,0,0,1
6,0.434,2,2,2,0,1
6,0.625,0,0,0,0,1
6,0.695,0,2,0,0,0
6,0.694,2,1,2,0,0
6,0.614,0,0,0,0,1
6,0.717,1,2,1,0,0
6,0.655,2,0,2,0,0
6,0.549,1,2,2,0,0
6,0.664,1,1,1,0,1
6,0.605,0,1,0,0,0
6,0.563,0,0,0,0,1
6,0.847,1,1,1,0,1
6,0.808,1,1,1,0,1
6,0.669,0,2,0,0,0
6,0.723,0,2,0,0,0
6,0.759,2,2,2,0,1
6,0.973,0,1,0,0,0
6,0.624,1,1,1,0,1
6,0.618,0,0,0,0,1
6,0.778,1,0,1,0,0
6,0.547,2,2,2,0,1
6,0.532,0,0,0,0,1
6,0.829,0,2,0,0,0
6,0.484,0,0,0,0,1
6,0.691,1,1,1,0,1
