id,speed_condition,difficulty,resp_deviation,rt
1,0,2,-0.73361,0.85701
1,0,2,0.030409,0.805
1,0,1,-0.088942,0.71541
1,0,3,0.20963,0.88628
1,0,3,0.29746,0.76033
1,0,2,-0.14265,0.7806
1,0,1,-0.030214,0.76365
1,0,2,0.32158,0.77887
1,0,2,-0.0053235,0.656
1,0,1,0.014639,0.77347
1,0,1,-2.2827e-4,1.148
1,0,3,-0.62758,2.2779
1,0,3,-0.85697,1.2887
1,0,3,1.3601,0.94548
1,0,2,0.058765,0.78514
1,0,1,0.072756,0.80003
1,0,2,-0.041714,1.4033
1,0,2,-0.32807,0.86811
1,0,2,-0.037132,0.99859
1,0,2,-0.019172,0.86017
1,0,3,-0.0080966,2.0704
1,0,3,-0.28912,1.0689
1,0,1,0.21018,0.7759
1,0,1,-0.050735,0.81603
1,0,2,0.47322,1.0693
1,0,2,-0.10517,1.2574
1,0,1,-0.092623,0.71496
1,0,3,0.22013,0.93215
1,0,3,0.54257,0.823
1,0,3,0.15053,2.043
1,0,1,-0.015644,0.98888
1,0,1,-0.14269,0.86343
1,0,1,0.01629,1.3045
1,0,3,-0.071864,1.4824
1,1,1,0.078757,0.64482
1,1,2,-0.16591,0.59287
1,1,1,-0.28602,0.60632
1,1,1,-0.054282,0.61462
1,1,2,-0.84186,0.67699
1,1,3,0.021604,0.64195
1,1,2,0.33405,0.59426
1,1,3,0.40937,0.72347
1,1,1,-0.20914,0.62742
1,1,2,-0.79562,0.592
1,1,1,0.067822,0.66866
1,1,3,-0.47513,1.4824
1,1,2,-0.20656,0.61005
1,1,2,-0.22173,0.70694
1,1,2,0.79698,0.72449
1,1,1,-0.072584,0.75051
1,1,1,0.035173,0.71106
1,1,3,-0.062926,0.8322
1,1,3,-0.47361,0.93386
1,1,1,0.16682,0.73116
1,1,2,-0.40984,0.69253
1,1,3,0.042051,0.73064
1,1,1,-0.32365,0.66436
1,1,3,0.073964,0.86863
1,1,2,-0.18988,0.7503
1,1,3,-0.10235,0.93505
1,1,1,0.17226,0.80018
1,1,3,-0.082953,0.85624
1,1,2,-0.38529,0.80798
1,1,3,1.161,1.3949
2,1,3,-0.21648,0.94388
2,1,1,0.0074978,0.67311
2,1,2,0.088021,0.73423
2,1,1,0.1645,0.65818
2,1,2,-0.10183,0.66894
2,1,3,0.15405,0.67216
2,1,1,0.0011643,0.67455
2,1,3,0.079658,0.80714
2,1,2,0.16657,0.7062
2,1,1,0.31772,1.0077
2,1,1,-0.12839,0.75003
2,1,3,0.37617,0.71981
2,1,1,0.24303,0.60195
2,1,1,0.11884,0.62509
2,1,2,0.094514,1.1015
2,1,2,-0.25987,0.65917
2,1,3,0.73797,0.60143
2,1,2,-0.01132,0.60648
2,1,1,-0.08888,0.63411
2,1,3,-0.75902,0.80909
2,1,3,0.7546,0.56398
2,1,3,0.5078,0.66563
2,1,2,-0.11343,0.68105
2,1,2,-0.30519,0.62588
2,0,2,0.14816,0.99629
2,0,3,0.18564,1.2304
2,0,2,-0.13839,0.80233
2,0,2,-0.099418,1.1921
2,0,2,0.1683,0.98514
2,0,3,0.16248,1.953
2,0,2,0.13238,1.1774
2,0,2,0.14205,1.5603
2,0,1,0.068552,1.1176
2,0,1,-0.14695,0.78009
2,0,2,-0.14124,0.87689
2,0,3,-1.21,1.1293
2,0,1,-0.12559,0.95105
2,0,3,0.39662,1.1728
2,0,1,0.0085909,0.7711
2,0,3,0.94085,1.8676
2,0,1,0.20369,0.858
2,0,3,0.63028,2.119
2,0,3,0.64054,1.18
2,0,1,0.11966,0.93343
2,0,2,0.11815,1.1638
2,0,1,0.083639,1.3036
2,0,1,0.13028,0.93833
2,1,3,-0.095242,0.68224
2,1,3,-0.31976,0.73919
2,1,2,-0.35264,0.74993
2,1,1,0.087308,0.7832
2,1,1,-0.05452,0.67042
2,1,1,0.22068,0.62898
2,1,2,-0.2416,0.97713
2,1,2,0.22633,0.73002
2,1,1,-0.26714,0.68185
2,1,3,0.076138,0.71228
2,1,2,-0.1153,0.73378
2,1,2,0.23121,0.675
2,1,3,0.2373,0.68113
2,1,2,-0.083729,0.67605
2,1,3,-0.79129,0.65725
2,1,2,0.43294,0.62263
2,1,1,0.073671,0.71675
2,1,2,-0.33178,0.65093
2,1,1,-0.056354,0.71558
2,1,3,-0.38501,0.78722
2,1,1,-0.28173,0.72918
2,1,3,-0.15475,0.70474
2,1,1,0.14884,0.76891
2,1,3,0.46486,0.82
2,1,1,-0.11856,0.66501999999999994
2,1,2,0.068832,0.5937
2,1,2,-0.025233,0.66519
2,1,2,-0.20035,0.74575
2,1,2,-0.043466,0.78419
2,1,3,-1.2207,0.74027
2,1,3,1.0356,0.79375
2,1,1,-0.011414,0.59694
2,1,3,0.40675,0.64994
2,1,2,-0.05167,0.76916
2,1,3,-0.39449,0.70438
2,1,3,0.58175,0.96401
2,1,2,1.2375,0.80254
2,1,1,-0.081583,0.56014
2,1,1,0.11211,0.59404
2,1,2,-0.33395,0.71482
2,1,3,-0.26822,0.83801
2,1,3,-0.77181,0.65368
2,1,1,-0.14625,0.59367
2,1,1,-0.075598,0.68998
2,1,1,0.090659,0.62997
2,1,2,0.25836,0.67378
2,1,1,-0.055888,0.66686
2,1,3,0.0034158,0.62335
2,1,2,-0.16303,0.67192
2,1,2,-0.13613,0.65393
2,1,1,-0.23253,0.73766
2,1,2,0.7239,0.67366
2,1,1,-0.1684,0.76477
2,1,3,-0.023512,0.86066
2,1,1,0.083707,0.58249
2,1,1,-0.15064,0.56871
2,1,3,-0.075765,1.4471
2,1,3,-0.35995,0.66096
